found_at,kind,entry,exit,outbound_date,inbound_date,price_per_person,airlines,stops,source
2026-08-23T01:26:03,round-trip,FCO,FCO,2027-01-04,2027-01-14,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:26:06,round-trip,FCO,FCO,2027-01-04,2027-01-17,4061400,루프트한자,1,gflights
2026-08-23T01:26:10,round-trip,FCO,FCO,2027-01-06,2027-01-14,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:26:13,round-trip,FCO,FCO,2027-01-06,2027-01-17,4516200,에미레이트항공,1,gflights
2026-08-23T01:26:16,round-trip,FCO,FCO,2027-01-04,2027-01-15,3564200,"루프트한자,ITA",1,gflights
2026-08-23T01:26:19,round-trip,FCO,FCO,2027-01-06,2027-01-15,3564200,"루프트한자,ITA",1,gflights
2026-08-23T01:33:28,round-trip,FCO,FCO,2027-01-04,2027-01-14,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:33:31,round-trip,FCO,FCO,2027-01-04,2027-01-17,4061400,루프트한자,1,gflights
2026-08-23T01:33:33,round-trip,FCO,FCO,2027-01-06,2027-01-14,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:33:38,round-trip,FCO,FCO,2027-01-06,2027-01-17,4516200,에미레이트항공,1,gflights
2026-08-23T01:33:42,round-trip,FCO,FCO,2027-01-04,2027-01-15,3564200,"루프트한자,ITA",1,gflights
2026-08-23T01:33:45,round-trip,FCO,FCO,2027-01-06,2027-01-15,3564200,"루프트한자,ITA",1,gflights
2026-08-23T01:33:49,round-trip,FCO,FCO,2027-01-03,2027-01-14,3459800,루프트한자,1,gflights
2026-08-23T01:33:53,round-trip,FCO,FCO,2027-01-03,2027-01-17,4188500,루프트한자,1,gflights
2026-08-23T01:33:56,round-trip,FCO,FCO,2027-01-03,2027-01-15,3474500,루프트한자,1,gflights
2026-08-23T01:33:59,round-trip,FCO,FCO,2027-01-04,2027-01-16,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:34:03,round-trip,FCO,FCO,2027-01-06,2027-01-16,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:34:07,round-trip,MAD,MAD,2027-01-05,2027-01-16,4013400,카타르항공,1,gflights
2026-08-23T01:34:12,round-trip,MAD,MAD,2027-01-06,2027-01-16,4013400,카타르항공,1,gflights
2026-08-23T01:34:16,round-trip,FCO,FCO,2027-01-04,2027-01-18,3427846,"루프트한자,ITA",1,gflights
2026-08-23T01:34:20,round-trip,FCO,FCO,2027-01-06,2027-01-18,3578900,"루프트한자,ITA",1,gflights
2026-08-23T01:34:24,round-trip,FCO,FCO,2027-01-03,2027-01-16,3459800,루프트한자,1,gflights
2026-08-23T01:34:26,round-trip,MAD,MAD,2027-01-02,2027-01-16,4097100,카타르항공,1,gflights
2026-08-23T01:34:30,round-trip,FCO,FCO,2027-01-03,2027-01-18,3963800,루프트한자,1,gflights
2026-08-23T01:34:57,round-trip,FCO,FCO,2027-01-04,2027-01-14,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:34:59,round-trip,FCO,FCO,2027-01-06,2027-01-14,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:35:04,round-trip,FCO,FCO,2027-01-04,2027-01-16,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:35:08,round-trip,FCO,FCO,2027-01-06,2027-01-16,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:35:10,round-trip,FCO,FCO,2027-01-04,2027-01-18,3427846,"루프트한자,ITA",1,gflights
2026-08-23T01:35:14,round-trip,FCO,FCO,2027-01-03,2027-01-14,3459800,루프트한자,1,gflights
2026-08-23T01:35:17,round-trip,FCO,FCO,2027-01-03,2027-01-16,3459800,루프트한자,1,gflights
2026-08-23T01:35:20,round-trip,FCO,FCO,2027-01-03,2027-01-15,3474500,루프트한자,1,gflights
2026-08-23T01:35:23,round-trip,FCO,FCO,2027-01-04,2027-01-14,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:35:26,round-trip,FCO,FCO,2027-01-04,2027-01-17,4061400,루프트한자,1,gflights
2026-08-23T01:35:30,round-trip,FCO,FCO,2027-01-06,2027-01-14,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:35:34,round-trip,FCO,FCO,2027-01-06,2027-01-17,4516200,에미레이트항공,1,gflights
2026-08-23T01:51:47,open-jaw,FCO,MAD,2027-01-04,2027-01-16,4015100,에티하드항공,1,serpapi
2026-08-23T01:51:51,open-jaw,FCO,MAD,2027-01-06,2027-01-16,3722800,핀란드항공,1,serpapi
2026-08-23T01:51:55,open-jaw,FCO,MAD,2027-01-03,2027-01-16,3722800,핀란드항공,1,serpapi
2026-08-23T01:51:59,open-jaw,BCN,MAD,2027-01-03,2027-01-16,3751900,핀란드항공,1,serpapi
2026-08-23T01:52:04,open-jaw,BCN,MAD,2027-01-04,2027-01-16,3751900,핀란드항공,1,serpapi
2026-08-23T01:52:09,open-jaw,BCN,MAD,2027-01-05,2027-01-16,3751900,핀란드항공,1,serpapi
2026-08-23T01:52:11,round-trip,FCO,FCO,2027-01-04,2027-01-14,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:52:14,round-trip,FCO,FCO,2027-01-04,2027-01-17,4061400,루프트한자,1,gflights
2026-08-23T01:52:18,round-trip,FCO,FCO,2027-01-06,2027-01-14,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:52:22,round-trip,FCO,FCO,2027-01-06,2027-01-17,4516200,에미레이트항공,1,gflights
2026-08-23T01:52:26,round-trip,FCO,FCO,2027-01-04,2027-01-15,3564200,"루프트한자,ITA",1,gflights
2026-08-23T01:52:29,round-trip,FCO,FCO,2027-01-06,2027-01-15,3564200,"루프트한자,ITA",1,gflights
2026-08-23T01:52:32,round-trip,FCO,FCO,2027-01-03,2027-01-14,3459800,루프트한자,1,gflights
2026-08-23T01:52:35,round-trip,FCO,FCO,2027-01-03,2027-01-17,4188500,루프트한자,1,gflights
2026-08-23T01:52:39,round-trip,FCO,FCO,2027-01-03,2027-01-15,3474500,루프트한자,1,gflights
2026-08-23T01:52:42,round-trip,FCO,FCO,2027-01-04,2027-01-16,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:52:45,round-trip,FCO,FCO,2027-01-06,2027-01-16,3413320,"루프트한자,ITA",1,gflights
2026-08-23T01:52:48,round-trip,MAD,MAD,2027-01-05,2027-01-16,4013400,카타르항공,1,gflights
2026-08-23T01:52:52,round-trip,MAD,MAD,2027-01-06,2027-01-16,4012800,카타르항공,1,gflights
2026-08-23T01:52:56,round-trip,FCO,FCO,2027-01-04,2027-01-18,3427846,"루프트한자,ITA",1,gflights
2026-08-23T01:52:59,round-trip,FCO,FCO,2027-01-06,2027-01-18,3578900,"루프트한자,ITA",1,gflights
2026-08-23T01:53:03,round-trip,FCO,FCO,2027-01-03,2027-01-16,3459800,루프트한자,1,gflights
2026-08-23T01:53:07,round-trip,MAD,MAD,2027-01-02,2027-01-16,4097100,카타르항공,1,gflights
2026-08-23T01:53:10,round-trip,FCO,FCO,2027-01-03,2027-01-18,3963800,루프트한자,1,gflights
2026-08-22T17:08:47,round-trip,FCO,FCO,2027-01-04,2027-01-14,3425400,"루프트한자,ITA",1,gflights
2026-08-22T17:08:50,round-trip,FCO,FCO,2027-01-04,2027-01-17,4061400,루프트한자,1,gflights
2026-08-22T17:08:54,round-trip,FCO,FCO,2027-01-04,2027-01-15,3572300,"루프트한자,ITA",1,gflights
2026-08-22T17:08:57,round-trip,MAD,MAD,2027-01-05,2027-01-16,4012800,카타르항공,1,gflights
2026-08-22T17:09:07,round-trip,FCO,FCO,2027-01-04,2027-01-18,3445000,"루프트한자,ITA",1,gflights
2026-08-22T17:09:10,round-trip,FCO,FCO,2027-01-03,2027-01-14,4005800,루프트한자,1,gflights
2026-08-22T17:09:13,round-trip,FCO,FCO,2027-01-03,2027-01-17,4678000,루프트한자,1,gflights
2026-08-22T17:09:16,round-trip,FCO,FCO,2027-01-03,2027-01-15,4941100,KLM,1,gflights
2026-08-23T02:21:08,round-trip,FCO,FCO,2027-01-04,2027-01-14,3413320,"루프트한자,ITA",1,gflights
2026-08-23T02:21:13,round-trip,FCO,FCO,2027-01-04,2027-01-17,4061400,루프트한자,1,gflights
2026-08-23T02:21:17,round-trip,FCO,FCO,2027-01-06,2027-01-14,3413320,"루프트한자,ITA",1,gflights
2026-08-23T02:21:21,round-trip,FCO,FCO,2027-01-06,2027-01-17,4516200,에미레이트항공,1,gflights
2026-08-23T02:21:24,round-trip,FCO,FCO,2027-01-03,2027-01-14,3459800,루프트한자,1,gflights
2026-08-23T02:21:28,round-trip,FCO,FCO,2027-01-03,2027-01-17,4188500,루프트한자,1,gflights
2026-08-23T02:21:31,round-trip,FCO,FCO,2027-01-04,2027-01-15,3564200,"루프트한자,ITA",1,gflights
2026-08-23T02:21:34,round-trip,FCO,FCO,2027-01-04,2027-01-16,3413320,"루프트한자,ITA",1,gflights
2026-08-23T02:21:36,round-trip,FCO,FCO,2027-01-06,2027-01-15,3564200,"루프트한자,ITA",1,gflights
